      1000  0.17E-04  0.28E-03  0.28E-03
      2000  0.91E-04  0.36E-04  0.10E-03
      3000  0.11E-03  0.74E-04  0.11E-03
      4000  0.85E-04  0.61E-04  0.88E-04
      5000  0.38E-04  0.63E-04  0.11E-03
      6000  0.41E-04  0.22E-04  0.32E-04
      7000  0.30E-04  0.74E-04  0.11E-03
      8000  0.29E-04  0.36E-04  0.46E-04
      9000  0.10E-03  0.48E-04  0.93E-04
     10000  0.11E-03  0.81E-05  0.13E-04
     11000  0.10E-03  0.72E-04  0.90E-04
     12000  0.97E-04  0.71E-04  0.77E-04
     13000  0.17E-03  0.52E-04  0.81E-04
     14000  0.17E-03  0.93E-05  0.16E-04
     15000  0.16E-03  0.18E-05  0.26E-05
     16000  0.16E-03  0.90E-05  0.17E-04
     17000  0.15E-03  0.16E-05  0.55E-05
     18000  0.23E-03  0.75E-04  0.16E-03
     19000  0.24E-03  0.94E-05  0.19E-04
     20000  0.24E-03  0.13E-05  0.24E-05
     21000  0.23E-03  0.13E-04  0.25E-04
     22000  0.28E-03  0.50E-04  0.10E-03
     23000  0.29E-03  0.89E-05  0.18E-04
     24000  0.30E-03  0.14E-05  0.22E-05
     25000  0.29E-03  0.53E-05  0.10E-04
     26000  0.35E-03  0.48E-04  0.95E-04
     27000  0.35E-03  0.89E-05  0.15E-04
     28000  0.35E-03  0.25E-05  0.37E-05
     29000  0.35E-03  0.81E-06  0.12E-05
     30000  0.34E-03  0.39E-05  0.69E-05
     31000  0.41E-03  0.42E-04  0.87E-04
     32000  0.42E-03  0.31E-05  0.52E-05
     33000  0.42E-03  0.12E-05  0.22E-05
     34000  0.46E-03  0.45E-04  0.94E-04
     35000  0.46E-03  0.15E-04  0.36E-04
     36000  0.47E-03  0.27E-05  0.42E-05
     37000  0.47E-03  0.10E-05  0.15E-05
     38000  0.51E-03  0.44E-04  0.76E-04
     39000  0.51E-03  0.81E-05  0.15E-04
     40000  0.52E-03  0.54E-05  0.92E-05
     41000  0.52E-03  0.11E-05  0.20E-05
     42000  0.56E-03  0.49E-04  0.97E-04
     43000  0.56E-03  0.63E-05  0.96E-05
     44000  0.57E-03  0.94E-05  0.14E-04
     45000  0.57E-03  0.13E-05  0.20E-05
     46000  0.59E-03  0.51E-04  0.89E-04
     47000  0.60E-03  0.77E-05  0.11E-04
     48000  0.61E-03  0.10E-04  0.16E-04
     49000  0.60E-03  0.15E-05  0.22E-05
     50000  0.63E-03  0.52E-04  0.10E-03
     51000  0.64E-03  0.77E-05  0.11E-04
     52000  0.65E-03  0.10E-04  0.16E-04
     53000  0.64E-03  0.18E-05  0.26E-05
     54000  0.67E-03  0.53E-04  0.11E-03
     55000  0.68E-03  0.72E-05  0.10E-04
     56000  0.69E-03  0.11E-04  0.19E-04
     57000  0.68E-03  0.18E-05  0.27E-05
     58000  0.71E-03  0.53E-04  0.10E-03
     59000  0.72E-03  0.77E-05  0.12E-04
     60000  0.73E-03  0.11E-04  0.18E-04
     61000  0.72E-03  0.18E-05  0.28E-05
     62000  0.74E-03  0.54E-04  0.91E-04
     63000  0.75E-03  0.69E-05  0.12E-04
     64000  0.75E-03  0.11E-04  0.19E-04
     65000  0.75E-03  0.20E-05  0.29E-05
     66000  0.77E-03  0.53E-04  0.71E-04
     67000  0.78E-03  0.64E-05  0.14E-04
     68000  0.79E-03  0.17E-05  0.22E-05
     69000  0.78E-03  0.17E-05  0.31E-05
